地域コード	地域	人口	面積（km2）	人口密度（1km2当たり）	世帯数
2440	三戸郡	67968	969.33	70.1	24834
2441	三戸町	10135	151.79	66.8	3756
2442	五戸町	17433	177.67	98.1	6123
2443	田子町	5554	241.98	23	2006
2445	南部町	18312	153.12	119.6	6419
2446	階上町	14025	94.01	149.2	5699
2450	新郷村	2509	150.77	16.6	831
3000	岩手県	1279594	15275.01	83.8	493049
3001	市部	1054276	9650.72	109.2	411806
3002	郡部	225318	5624.29	40.1	81243
3201	盛岡市	297631	886.47	335.7	129718
3202	宮古市	56676	1259.15	45	23387
3203	大船渡市	38058	322.5	118	14807
3205	花巻市	97702	908.39	107.6	33799
3206	北上市	93511	437.55	213.7	35861
3207	久慈市	35642	623.5	57.2	14256
3208	遠野市	28062	825.97	34	9973
3209	一関市	121583	1256.42	96.8	43046
3210	陸前高田市	19758	231.94	85.2	7487
3211	釜石市	36802	440.34	83.6	16860
3213	二戸市	27611	420.42	65.7	10670
3214	八幡平市	26355	862.3	30.6	9429
3215	奥州市	119422	993.3	120.2	41726
3216	滝沢市	55463	182.46	304	20787
3300	岩手郡	37017	1404.24	26.4	12895
3301	雫石町	16981	608.82	27.9	5508
3302	葛巻町	6344	434.96	14.6	2460
3303	岩手町	13692	360.46	38	4927
3320	紫波郡	60292	306.3	196.8	20710
3321	紫波町	32614	238.98	136.5	10808
3322	矢巾町	27678	67.32	411.1	9902
3360	和賀郡	5880	590.74	10	2146
3366	西和賀町	5880	590.74	10	2146
3380	胆沢郡	15895	179.76	88.4	5556
3381	金ケ崎町	15895	179.76	88.4	5556
3400	西磐井郡	7868	63.39	124.1	2478
3402	平泉町	7868	63.39	124.1	2478
3440	気仙郡	5720	334.84	17.1	2117
3441	住田町	5720	334.84	17.1	2117
3460	上閉伊郡	11759	200.42	58.7	4927
3461	大槌町	11759	200.42	58.7	4927
3480	下閉伊郡	31928	1481.02	21.6	12787
3482	山田町	15826	262.81	60.2	6218
3483	岩泉町	9841	992.36	9.9	4174
3484	田野畑村	3466	156.19	22.2	1292
3485	普代村	2795	69.66	40.1	1103
3500	九戸郡	36040	763.55	47.2	12783
3501	軽米町	9333	245.82	38	3318
3503	野田村	4149	80.8	51.3	1516
3506	九戸村	5865	134.02	43.8	1990
3507	洋野町	16693	302.92	55.1	5959
3520	二戸郡	12919	300.03	43.1	4844
3524	一戸町	12919	300.03	43.1	4844
4000	宮城県	2333899	7282.22	320.5	944720
4001	市部	1922201	4542.23	423.2	803187
4002	郡部	411698	2740	150.3	141533
4100	仙台市	1082159	786.3	1376.3	498953
4101	仙台市 青葉区	310183	302.24	1026.3	158562
4102	仙台市 宮城野区	194825	58.19	3348.1	90166
4103	仙台市 若林区	133498	50.86	2624.8	61963
4104	仙台市 太白区	226855	228.39	993.3	98456
4105	仙台市 泉区	216798	146.61	1478.7	89806
4202	石巻市	147214	554.58	265.5	56819
4203	塩竈市	54187	17.37	3119.6	20519
4205	気仙沼市	64988	332.44	195.5	24152
4206	白石市	35272	286.48	123.1	12585
4207	名取市	76668	98.17	781	27529
4208	角田市	30180	147.53	204.6	10398
4209	多賀城市	62096	19.69	3153.7	24097
4211	岩沼市	44678	60.45	739.1	16631
4212	登米市	81959	536.12	152.9	26196
4213	栗原市	69906	804.97	86.8	23133
4214	東松島市	39503	101.36	389.7	13868
4215	大崎市	133391	796.76	167.4	48307
4300	刈田郡	13777	415.92	33.1	4490
4301	蔵王町	12316	152.83	80.6	3923
4302	七ヶ宿町	1461	263.09	5.6	567
4320	柴田郡	83991	428.17	196.2	30864
4321	大河原町	23798	24.99	952.3	9099
4322	村田町	11501	78.38	146.7	3764
4323	柴田町	39525	54.03	731.5	15121
4324	川崎町	9167	270.77	33.9	2880
4340	伊具郡	13972	273.3	51.1	4547
4341	丸森町	13972	273.3	51.1	4547
4360	亘理郡	45904	138.18	332.2	15763
4361	亘理町	33589	73.6	456.4	11334
4362	山元町	12315	64.58	190.7	4429
4400	宮城郡	68908	111.64	617.2	23470
4401	松島町	14421	53.56	269.2	5112
4404	七ヶ浜町	18652	13.19	1414.1	6167
4406	利府町	35835	44.89	798.3	12191
4420	黒川郡	93908	417	225.2	31847
4421	大和町	28244	225.49	125.3	10177
4422	大郷町	8370	82.01	102.1	2421
4423	富谷町	51591	49.18	1049	17494
4424	大衡村	5703	60.32	94.5	1755
4440	加美郡	30981	569.94	54.4	9538
4444	色麻町	7238	109.28	66.2	1974
4445	加美町	23743	460.67	51.5	7564
4500	遠田郡	41553	157.1	264.5	13819
4501	涌谷町	16701	82.16	203.3	5476
4505	美里町	24852	74.95	331.6	8343
4580	牡鹿郡	6334	65.35	96.9	3154
4581	女川町	6334	65.35	96.9	3154
4600	本吉郡	12370	163.4	75.7	4041
4606	南三陸町	12370	163.4	75.7	4041
5000	秋田県	1023119	11637.54	87.9	388560
5001	市部	925806	9340.13	99.1	355623
5002	郡部	97313	2275.44	42.8	32937
5201	秋田市	315814	906.09	348.5	135318
5202	能代市	54730	426.95	128.2	22371
5203	横手市	92197	692.8	133.1	31463
5204	大館市	74175	913.22	81.2	28242
5206	男鹿市	28375	241.09	117.7	11147
5207	湯沢市	46613	790.91	58.9	16384
5209	鹿角市	32038	707.52	45.3	11508
5210	由利本荘市	79927	1209.6	66.1	28349
5211	潟上市	33083	97.73	338.5	12023
5212	大仙市	82783	866.77	95.5	28198
5213	北秋田市	33224	1152.76	28.8	12222
5214	にかほ市	25324	241.13	105	8804
5215	仙北市	27523	1093.56	25.2	9594
5300	鹿角郡	5339	201.7	26.5	2168
5303	小坂町	5339	201.7	26.5	2168
5320	北秋田郡	2381	256.72	9.3	918
5327	上小阿仁村	2381	256.72	9.3	918
5340	山本郡	27746	764.26	36.3	9931
5346	藤里町	3359	282.13	11.9	1215
5348	三種町	17078	247.98	68.9	6010
5349	八峰町	7309	234.14	31.2	2706
5360	南秋田郡	23639	449.97	52.5	8152
5361	五城目町	9463	214.92	44	3573
5363	八郎潟町	6080	17	357.6	2220
5366	井川町	4986	47.95	104	1563
5368	大潟村	3110	170.11	18.3	796
5420	仙北郡	20279	168.34	120.5	6152
5434	美郷町	20279	168.34	120.5	6152
5460	雄勝郡	17929	434.46	41.3	5616
5463	羽後町	15319	230.78	66.4	4807
5464	東成瀬村	2610	203.69	12.8	809
6000	山形県	1123891	9323.15	120.5	393396
6001	市部	897041	4711.77	190.4	324237
6002	郡部	226850	4611.38	49.2	69159
6201	山形市	253832	381.3	665.7	100303
6202	米沢市	85953	548.51	156.7	32997
6203	鶴岡市	129652	1311.53	98.9	45339
6204	酒田市	106244	602.97	176.2	39320
6205	新庄市	36894	222.85	165.6	12961
6206	寒河江市	41256	139.03	296.7	13086
6207	上山市	31569	240.93	131	10694
6208	村山市	24684	196.98	125.3	7713
6209	長井市	27757	214.67	129.3	9109
6210	天童市	62194	113.01	550.3	21428
6211	東根市	47768	206.94	230.8	15473
6212	尾花沢市	16953	372.53	45.5	5109
6213	南陽市	32285	160.52	201.1	10705
6300	東村山郡	25732	92.6	277.9	7867
6301	山辺町	14369	61.45	233.8	4440
6302	中山町	11363	31.15	364.8	3427
6320	西村山郡	40179	796.53	50.4	12524
6321	河北町	18952	52.45	361.3	5865
6322	西川町	5636	393.19	14.3	1785
6323	朝日町	7119	196.81	36.2	2242
6324	大江町	8472	154.08	55	2632
6340	北村山郡	7357	79.54	92.5	2143
6341	大石田町	7357	79.54	92.5	2143
6360	最上郡	41001	1580.38	25.9	12037
6361	金山町	5829	161.67	36.1	1643
6362	最上町	8902	330.37	26.9	2665
6363	舟形町	5631	119.04	47.3	1621
6364	真室川町	8137	374.22	21.7	2478
6365	大蔵村	3412	211.63	16.1	1016
6366	鮭川村	4317	122.14	35.3	1224
6367	戸沢村	4773	261.31	18.3	1390
6380	東置賜郡	39633	346.86	114.3	11771
6381	高畠町	23882	180.26	132.5	7218
6382	川西町	15751	166.6	94.5	4553
6400	西置賜郡	29347	1224.68	24	9448
6401	小国町	7868	737.56	10.7	2845
6402	白鷹町	14175	157.71	89.9	4405
6403	飯豊町	7304	329.41	22.2	2198
6420	東田川郡	29394	282.39	104.1	8860
6426	三川町	7728	33.22	232.6	2223
6428	庄内町	21666	249.17	87	6637
6460	飽海郡	14207	208.39	68.2	4509
6461	遊佐町	14207	208.39	68.2	4509
7000	福島県	1914039	13783.74	138.9	737598
7001	市部	1579063	6031.54	261.8	622550
7002	郡部	334976	7752.2	43.2	115048
7201	福島市	294247	767.72	383.3	122269
7202	会津若松市	124062	382.97	323.9	49431
7203	郡山市	335444	757.2	443	138310
7204	いわき市	350237	1232.02	284.3	141069
7205	白河市	61913	305.32	202.8	23004
7207	須賀川市	77441	279.43	277.1	26345
7208	喜多方市	49377	554.63	89	16752
7209	相馬市	38556	197.79	194.9	15209
7210	二本松市	58162	344.42	168.9	19810
7211	田村市	38503	458.33	84	12734
7212	南相馬市	57797	398.58	145	25944
7213	伊達市	62400	265.12	235.4	21624
7214	本宮市	30924	88.02	351.3	10049
7300	伊達郡	36235	208.62	173.7	13082
7301	桑折町	12271	42.97	285.6	4276
7303	国見町	9512	37.95	250.6	3291
7308	川俣町	14452	127.7	113.2	5515
7320	安達郡	8679	79.44	109.3	2619
7322	大玉村	8679	79.44	109.3	2619
7340	岩瀬郡	18097	256.82	70.5	5843
7342	鏡石町	12486	31.3	398.9	4205
7344	天栄村	5611	225.52	24.9	1638
7360	南会津郡	27149	2341.53	11.6	10267
7362	下郷町	5800	317.04	18.3	2002
7364	檜枝岐村	615	390.46	1.6	257
7367	只見町	4470	747.56	6	1762
7368	南会津町	16264	886.47	18.3	6246
7400	耶麻郡	28029	986.88	28.4	9595
7402	北塩原村	2831	234.08	12.1	1008
7405	西会津町	6582	298.18	22.1	2531
7407	磐梯町	3579	59.77	59.9	1117
7408	猪苗代町	15037	394.85	38.1	4939
7420	河沼郡	23045	283.79	81.2	7504
7421	会津坂下町	16303	91.59	178	5391
7422	湯川村	3206	16.37	195.8	906
7423	柳津町	3536	175.82	20.1	1207
7440	大沼郡	26092	870.51	30	8956
7444	三島町	1668	90.81	18.4	674
7445	金山町	2189	293.92	7.4	956
7446	昭和村	1322	209.46	6.3	616
7447	会津美里町	20913	276.33	75.7	6710
7460	西白河郡	49188	306.8	160.3	16758
7461	西郷村	20322	192.06	105.8	7458
7464	泉崎村	6495	35.43	183.3	2059
7465	中島村	5001	18.92	264.3	1395
7466	矢吹町	17370	60.4	287.6	5846
7480	東白川郡	32979	620.95	53.1	10781
7481	棚倉町	14295	159.93	89.4	4753
7482	矢祭町	5950	118.27	50.3	1921
7483	塙町	9157	211.41	43.3	3043
7484	鮫川村	3577	131.34	27.2	1064
7500	石川郡	41112	456.52	90.1	12923
7501	石川町	15880	115.71	137.2	5244
7502	玉川村	6777	46.67	145.2	1974
7503	平田村	6505	93.42	69.6	1989
7504	浅川町	6577	37.43	175.7	2055
7505	古殿町	5373	163.29	32.9	1661
7520	田村郡	28779	197.95	145.4	9655
7521	三春町	18304	72.76	251.6	6230
7522	小野町	10475	125.18	83.7	3425
7540	双葉郡	7333	865.71	8.5	4365
7541	広野町	4319	58.69	73.6	2435
7542	楢葉町	975	103.64	9.4	839
7543	富岡町	0	68.39	0	0
7544	川内村	2021	197.35	10.2	1082
7545	大熊町	0	78.71	0	0
7546	双葉町	0	51.42	0	0
7547	浪江町	0	223.14	0	0
7548	葛尾村	18	84.37	0.2	9
7560	相馬郡	8259	276.67	29.9	2700
7561	新地町	8218	46.53	176.6	2699
7564	飯舘村	41	230.13	0.2	1
8000	茨城県	2916976	6097.06	478.4	1124349
8001	市部	2647421	5090.31	520.1	1026438
8002	郡部	269555	1006.76	267.7	97911
8201	水戸市	270783	217.32	1246	117590
8202	日立市	185054	225.74	819.8	78625
8203	土浦市	140804	122.89	1145.8	57257
8204	古河市	140946	123.58	1140.5	52571
8205	石岡市	76020	215.53	352.7	27288
8207	結城市	51594	65.76	784.6	18267
8208	龍ケ崎市	78342	78.55	997.4	30472
8210	下妻市	43293	80.88	535.3	15036
8211	常総市	61483	123.64	497.3	20600
8212	常陸太田市	52294	371.99	140.6	19436
8214	高萩市	29638	193.58	153.1	11751
8215	北茨城市	44412	186.8	237.8	16871
8216	笠間市	76739	240.4	319.2	28202
8217	取手市	106570	69.94	1523.7	43477
8219	牛久市	84317	58.92	1431	33223
8220	つくば市	226963	283.72	800	98190
8221	ひたちなか市	155689	99.93	1558	61104
8222	鹿嶋市	67879	106.02	640.2	27450
8223	潮来市	29111	71.4	407.7	10547
8224	守谷市	64753	35.71	1813.3	24867
8225	常陸大宮市	42587	348.45	122.2	16005
8226	那珂市	54276	97.82	554.9	20025
8227	筑西市	104573	205.3	509.4	35683
8228	坂東市	54087	123.03	439.6	17327
8229	稲敷市	42810	205.81	208	14453
8230	かすみがうら市	42147	156.6	269.1	15142
8231	桜川市	42632	180.06	236.8	13585
8232	神栖市	94522	146.94	643.3	37221
8233	行方市	34909	222.48	156.9	11115
8234	鉾田市	48147	207.61	231.9	17430
8235	つくばみらい市	49136	79.16	620.7	18137
8236	小美玉市	50911	144.74	351.7	17491
8300	東茨城郡	69607	307.12	226.6	25083
8302	茨城町	32921	121.58	270.8	11356
8309	大洗町	16886	23.74	711.3	6661
8310	城里町	19800	161.8	122.4	7066
8340	那珂郡	37713	37.98	993	14494
8341	東海村	37713	37.98	993	14494
8360	久慈郡	18053	325.76	55.4	6733
8364	大子町	18053	325.76	55.4	6733
8440	稲敷郡	72545	182.3	397.9	27709
8442	美浦村	15842	66.61	237.8	5958
8443	阿見町	47535	71.4	665.8	18801
8447	河内町	9168	44.3	207	2950
8520	結城郡	22021	58.99	373.3	6799
8521	八千代町	22021	58.99	373.3	6799
8540	猿島郡	33303	69.7	477.8	10955
8542	五霞町	8786	23.11	380.2	2894
8546	境町	24517	46.59	526.2	8061
8560	北相馬郡	16313	24.9	655.1	6138
8564	利根町	16313	24.9	655.1	6138
9000	栃木県	1974255	6408.09	308.1	763097
9001	市部	1731571	5053.84	342.6	676495
9002	郡部	242684	1354.25	179.2	86602
9201	宇都宮市	518594	416.85	1244.1	217419
9202	足利市	149452	177.76	840.8	60186
9203	栃木市	159211	331.5	480.3	57838
9204	佐野市	118919	356.04	334	46390
9205	鹿沼市	98374	490.64	200.5	35079
9206	日光市	83386	1449.83	57.5	32658
9208	小山市	166760	171.76	970.9	65792
9209	真岡市	79539	167.34	475.3	27949
9210	大田原市	75457	354.36	212.9	28753
9211	矢板市	33354	170.46	195.7	12342
9213	那須塩原市	117146	592.74	197.6	45608
9214	さくら市	44901	125.63	357.4	15648
9215	那須烏山市	27047	174.35	155.1	9439
9216	下野市	59431	74.59	796.8	21394
9300	河内郡	31046	54.39	570.8	10777
9301	上三川町	31046	54.39	570.8	10777
9340	芳賀郡	63378	396.5	159.8	21425
9342	益子町	23281	89.4	260.4	7787
9343	茂木町	13188	172.69	76.4	4572
9344	市貝町	11720	64.25	182.4	4109
9345	芳賀町	15189	70.16	216.5	4957
9360	下都賀郡	65243	91.32	714.4	24788
9361	壬生町	39951	61.06	654.3	15258
9364	野木町	25292	30.26	835.8	9530
9380	塩谷郡	41134	246.92	166.6	15217
9384	塩谷町	11495	176.06	65.3	3696
9386	高根沢町	29639	70.87	418.2	11521
9400	那須郡	41883	565.12	74.1	14395
9407	那須町	24919	372.34	66.9	8564
9411	那珂川町	16964	192.78	88	5831
